code_key,correct_prediction,error,ground_truth,index,logits_no,logits_yes,raw_tokens,score,task_id,timestamp
code_1,True,,0,1,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:55.689856
code_2,True,,0,2,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:56.106344
code_3,True,,0,3,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:56.515801
code_4,True,,0,4,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:56.927358
code_5,True,,0,5,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:57.336990
code_6,True,,0,6,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:57.761494
code_7,True,,0,7,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:58.177328
code_8,True,,0,8,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:58.586421
code_9,True,,0,9,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:58.998008
code_10,True,,0,10,0.2403048276901245,0.13692156970500946,975,0.36296921596817094,MBJP/1,2026-05-05T10:26:59.405178
code_1,True,,0,11,0.2632179856300354,0.1262933611869812,738,0.3242353842038673,MBJP/2,2026-05-05T10:26:59.706462
code_2,True,,0,12,0.2744777500629425,0.11264543980360031,815,0.29098086281639135,MBJP/2,2026-05-05T10:27:00.042743
code_3,True,,0,13,0.28207921981811523,0.1054053008556366,677,0.2720245460963436,MBJP/2,2026-05-05T10:27:00.325175
code_4,False,,1,14,0.2369571477174759,0.15419095754623413,721,0.3942009573132903,MBJP/2,2026-05-05T10:27:00.624842
code_5,True,,0,15,0.2632179856300354,0.1262933611869812,738,0.3242353842038673,MBJP/2,2026-05-05T10:27:00.926001
code_6,True,,0,16,0.2381773740053177,0.14673683047294617,685,0.38121957767664666,MBJP/2,2026-05-05T10:27:01.210256
code_7,False,,1,17,0.23702195286750793,0.09502027183771133,858,0.2861692422464297,MBJP/2,2026-05-05T10:27:01.554292
code_8,True,,0,18,0.267499178647995,0.08890372514724731,876,0.2494472525350791,MBJP/2,2026-05-05T10:27:01.912392
code_9,True,,0,19,0.24758592247962952,0.10648538172245026,780,0.3007455855888159,MBJP/2,2026-05-05T10:27:02.252622
code_10,True,,0,20,0.27520552277565,0.12117134779691696,753,0.30569732189944576,MBJP/2,2026-05-05T10:27:02.724861
code_1,False,,1,21,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:02.955547
code_2,False,,1,22,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:03.187692
code_3,False,,1,23,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:03.425348
code_4,False,,1,24,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:03.669145
code_5,False,,1,25,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:03.899392
code_6,False,,1,26,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:04.133134
code_7,False,,1,27,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:04.360681
code_8,False,,1,28,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:04.592989
code_9,False,,1,29,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:04.824514
code_10,False,,1,30,0.18800760805606842,0.13862812519073486,548,0.4244120011388607,MBJP/3,2026-05-05T10:27:05.055591
code_1,True,,0,31,0.2361368089914322,0.11781302094459534,1039,0.3328523168548738,MBJP/4,2026-05-05T10:27:05.501355
code_2,False,,1,32,0.17267832159996033,0.16736556589603424,1057,0.49218813232749453,MBJP/4,2026-05-05T10:27:05.971862
code_3,True,,0,33,0.17429012060165405,0.16892777383327484,1058,0.49218813055011634,MBJP/4,2026-05-05T10:27:06.424819
code_4,True,,0,34,0.16823728382587433,0.16179221868515015,1061,0.49023562273722954,MBJP/4,2026-05-05T10:27:06.876155
code_5,True,,0,35,0.16927951574325562,0.16027063131332397,1062,0.4863315423913543,MBJP/4,2026-05-05T10:27:07.329891
code_6,True,,0,36,0.18880695104599,0.15652644634246826,1104,0.45326182618356764,MBJP/4,2026-05-05T10:27:07.811967
code_7,False,,0,37,0.14888110756874084,0.16739152371883392,1095,0.52926338595081,MBJP/4,2026-05-05T10:27:08.280771
code_8,False,,0,38,0.14888110756874084,0.16739152371883392,1095,0.52926338595081,MBJP/4,2026-05-05T10:27:08.745886
