code_key,correct_prediction,error,ground_truth,index,logits_no,logits_yes,raw_tokens,score,task_id,timestamp
code_1,False,,0,1,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:28.963795
code_2,False,,0,2,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.068925
code_3,False,,0,3,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.158832
code_4,False,,0,4,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.249237
code_5,False,,0,5,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.339856
code_6,False,,0,6,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.430360
code_7,False,,0,7,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.520868
code_8,False,,0,8,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.611046
code_9,False,,0,9,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.700086
code_10,False,,0,10,0.2773172855377197,0.3142416477203369,382,0.5312093690980655,MBJP/1,2026-05-05T09:12:29.790194
code_1,True,,0,11,0.3212088346481323,0.27907106280326843,322,0.4649015634008672,MBJP/2,2026-05-05T09:12:29.876471
code_2,False,,0,12,0.24566727876663208,0.36879026889801025,314,0.6001883617504004,MBJP/2,2026-05-05T09:12:29.960923
code_3,True,,0,13,0.32312995195388794,0.27638769149780273,284,0.4610167765981255,MBJP/2,2026-05-05T09:12:30.044738
code_4,True,,1,14,0.2677409052848816,0.31302085518836975,305,0.5389832397596137,MBJP/2,2026-05-05T09:12:30.128673
code_5,True,,0,15,0.3212088346481323,0.27907106280326843,322,0.4649015634008672,MBJP/2,2026-05-05T09:12:30.214483
